,QCN,FCN,BCN,GRS,ZCL,UBQ,EXP,ETC,XMR,ETH,BTG,ZEC
QCN,1.0,0.034867375020954994,0.8480512878910198,0.8290209750481484,0.819798215183168,0.831289353492168,0.888483068097414,0.9113085421752811,0.5931801938277297,0.882526420760818,0.8313331071007912,0.8569195015530711
FCN,0.034867375020954994,1.0,0.03348992588238134,0.12736243625292776,0.34681652181431905,0.2646280996195564,0.2635668399877067,0.16960397523990373,0.5171279376455404,0.25182579231352037,0.3306631421345027,0.28529434652863195
BCN,0.8480512878910198,0.03348992588238134,1.0,0.8808957765828874,0.7741541602370381,0.8607021114846071,0.8597941116080421,0.8614190796015067,0.5772118308495547,0.816950666953418,0.8045624432563321,0.8203675328443687
GRS,0.8290209750481484,0.12736243625292776,0.8808957765828874,1.0,0.8215516803131282,0.8782361575084149,0.8672658079540086,0.8745296362214805,0.642675777626661,0.8533431867666601,0.8503158127677661,0.8761280230761163
ZCL,0.819798215183168,0.34681652181431905,0.7741541602370381,0.8215516803131282,1.0,0.8825427314991013,0.932369748206775,0.9153279045793672,0.7750891657446249,0.9235655114151227,0.9232925616841738,0.9075815223270663
UBQ,0.831289353492168,0.2646280996195564,0.8607021114846071,0.8782361575084149,0.8825427314991013,1.0,0.9374398344538658,0.9224276738859645,0.7715768051176257,0.9329856104472263,0.8938702305940907,0.920274112622065
EXP,0.888483068097414,0.2635668399877067,0.8597941116080421,0.8672658079540086,0.932369748206775,0.9374398344538658,1.0,0.9578145128447946,0.778912473947242,0.970409715352764,0.9359997925895263,0.9481824867365757
ETC,0.9113085421752811,0.16960397523990373,0.8614190796015067,0.8745296362214805,0.9153279045793672,0.9224276738859645,0.9578145128447946,1.0,0.6992439555938205,0.966539652106935,0.9226568270930795,0.9369151825614189
XMR,0.5931801938277297,0.5171279376455404,0.5772118308495547,0.642675777626661,0.7750891657446249,0.7715768051176257,0.778912473947242,0.6992439555938205,1.0,0.7603451081949897,0.7748157739206156,0.7485271019358765
ETH,0.882526420760818,0.25182579231352037,0.816950666953418,0.8533431867666601,0.9235655114151227,0.9329856104472263,0.970409715352764,0.966539652106935,0.7603451081949897,1.0,0.9260400064393928,0.9479273787586611
BTG,0.8313331071007912,0.3306631421345027,0.8045624432563321,0.8503158127677661,0.9232925616841738,0.8938702305940907,0.9359997925895263,0.9226568270930795,0.7748157739206156,0.9260400064393928,1.0,0.9238027414729403
ZEC,0.8569195015530711,0.28529434652863195,0.8203675328443687,0.8761280230761163,0.9075815223270663,0.920274112622065,0.9481824867365757,0.9369151825614189,0.7485271019358765,0.9479273787586611,0.9238027414729403,1.0
