,GTX_1050_TI,GTX_1060,GTX_1070,GTX_1070_TI,GTX_1080,GTX_1080_TI,AMD_380,AMD_470,AMD_480,AMD_570,AMD_580,AMD_VEGA_56,AMD_VEGA_64
GTX_1050_TI,1.0,1.0000000000000002,0.9999999999999993,1.0000000000000002,1.0000000000000002,1.0000000000000007,0.9999999999999998,1.0000000000000002,0.9999999999999998,0.9999999999999998,0.9999999999999989,0.9999999999999998,1.0
GTX_1060,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,1.0000000000000002,1.0000000000000009,1.0000000000000002
GTX_1070,0.9999999999999993,1.0,1.0,1.0,0.9999999999999998,1.000000000000001,1.0,1.0000000000000007,1.0,1.0000000000000002,0.9999999999999996,0.9999999999999998,1.0000000000000016
GTX_1070_TI,1.0000000000000002,1.0000000000000002,1.0,1.0,0.9999999999999996,0.9999999999999991,1.0000000000000002,0.9999999999999996,1.0000000000000002,1.0,1.000000000000001,1.0000000000000002,0.9999999999999998
GTX_1080,1.0000000000000002,1.0000000000000002,0.9999999999999998,0.9999999999999996,1.0,1.0000000000000004,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9999999999999992,0.9999999999999998,1.0000000000000004,1.0000000000000002
GTX_1080_TI,1.0000000000000007,1.0,1.000000000000001,0.9999999999999991,1.0000000000000004,1.0,1.0,0.9999999999999998,1.0,1.0000000000000004,1.0,1.0000000000000007,1.0000000000000004
AMD_380,0.9999999999999998,0.9999999999999999,1.0,1.0000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0000000000000002,0.9999999999999999
AMD_470,1.0000000000000002,0.9999999999999999,1.0000000000000007,0.9999999999999996,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,1.0000000000000002,0.9999999999999998,1.0000000000000004,1.0000000000000004
AMD_480,0.9999999999999998,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,1.0000000000000004,1.0,0.9999999999999997
AMD_570,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999992,1.0000000000000004,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000004,0.9999999999999996,1.0000000000000002
AMD_580,0.9999999999999989,1.0000000000000002,0.9999999999999996,1.000000000000001,0.9999999999999998,1.0,1.0000000000000002,0.9999999999999998,1.0000000000000004,1.0000000000000004,1.0,0.9999999999999989,1.0
AMD_VEGA_56,0.9999999999999998,1.0000000000000009,0.9999999999999998,1.0000000000000002,1.0000000000000004,1.0000000000000007,1.0000000000000002,1.0000000000000004,1.0,0.9999999999999996,0.9999999999999989,1.0,1.0
AMD_VEGA_64,1.0,1.0000000000000002,1.0000000000000016,0.9999999999999998,1.0000000000000002,1.0000000000000004,0.9999999999999999,1.0000000000000004,0.9999999999999997,1.0000000000000002,1.0,1.0,1.0
