,AMD_570,AMD_480,GTX_1060,GTX_1070_TI,GTX_1080,AMD_280X,GTX_750_TI,GTX_1070,GTX_1080_TI,AMD_380,AMD_580,AMD_470,AMD_FURY,GTX_1050_TI,AMD_VEGA_64,AMD_VEGA_56
AMD_570,1.0,0.9992968666299118,0.9738646657362913,0.9533232342898522,0.9524267455274004,0.9524422987060134,0.9522597087853342,0.9549356987339533,0.9518480821370718,0.9976431488851389,0.9997420040788713,0.9988330681262517,0.9576340001490803,0.9682058281652891,0.9622879575856063,0.9415930915884766
AMD_480,0.9992968666299118,1.0,0.9793333112127537,0.9598641603821809,0.9591257310243323,0.9593618967681824,0.9590393793488328,0.9611938585466734,0.9580655420742513,0.999329243836974,0.9998136513413988,0.9998685814606842,0.964488531914365,0.9743314646882864,0.9662615996678614,0.9466523864183578
GTX_1060,0.9738646657362913,0.9793333112127537,1.0,0.9930261125757648,0.9911853238649371,0.9829054561624756,0.9813448616327156,0.993741083359321,0.991699722563863,0.983568972137274,0.9772974906684899,0.9809737659895119,0.984826015409631,0.9982158376619411,0.9572317631574635,0.9425875006429584
GTX_1070_TI,0.9533232342898522,0.9598641603821809,0.9930261125757648,1.0,0.9985128036607146,0.9871012822621997,0.9856091243263368,0.9992790941913443,0.9990155394200874,0.9649787337331585,0.9572780980864192,0.9617118658529852,0.9871781851928242,0.9953374108314501,0.9466682752725674,0.9358003657994698
GTX_1080,0.9524267455274004,0.9591257310243323,0.9911853238649371,0.9985128036607146,1.0,0.9932108090743366,0.9919272651094612,0.9961329914906627,0.9960531884046709,0.9645650165847308,0.956534782250362,0.9610783858415284,0.9919198504546073,0.9950199480041391,0.9473050255225887,0.9379732065867026
AMD_280X,0.9524422987060134,0.9593618967681824,0.9829054561624756,0.9871012822621997,0.9932108090743366,1.0,0.999106094092444,0.9824107346133564,0.9815395441195032,0.9650452719631507,0.9567007340686039,0.9613619209909781,0.9983583969525971,0.9892269166189505,0.9497584153550398,0.9434091556830769
GTX_750_TI,0.9522597087853342,0.9590393793488328,0.9813448616327156,0.9856091243263368,0.9919272651094612,0.999106094092444,1.0,0.9807198458776423,0.9797662206832081,0.9646072304567588,0.9564365184574551,0.9609961076551601,0.9974840980037317,0.987907344797163,0.9531627878721457,0.947872921775931
GTX_1070,0.9549356987339533,0.9611938585466734,0.993741083359321,0.9992790941913443,0.9961329914906627,0.9824107346133564,0.9807198458776423,1.0,0.9995639954741161,0.9660299611007366,0.9587165444135175,0.9629581766496614,0.9831655805158022,0.9948091714471291,0.9456260855840404,0.9332090698271238
GTX_1080_TI,0.9518480821370718,0.9580655420742513,0.991699722563863,0.9990155394200874,0.9960531884046709,0.9815395441195032,0.9797662206832081,0.9995639954741161,1.0,0.9629811199596539,0.955634782521833,0.9598626985350162,0.9812396787465996,0.9925733857907775,0.9419243746986811,0.9291505804982879
AMD_380,0.9976431488851389,0.999329243836974,0.983568972137274,0.9649787337331585,0.9645650165847308,0.9650452719631507,0.9646072304567588,0.9660299611007366,0.9629811199596539,1.0,0.9988859414447786,0.9997399818382847,0.9695264227599703,0.9789611780309412,0.9655651917805775,0.9464678379695117
AMD_580,0.9997420040788713,0.9998136513413988,0.9772974906684899,0.9572780980864192,0.956534782250362,0.9567007340686039,0.9564365184574551,0.9587165444135175,0.955634782521833,0.9988859414447786,1.0,0.9996511045627388,0.9616511509671951,0.9719284215859917,0.9633906826256816,0.9431355443317643
AMD_470,0.9988330681262517,0.9998685814606842,0.9809737659895119,0.9617118658529852,0.9610783858415284,0.9613619209909781,0.9609961076551601,0.9629581766496614,0.9598626985350162,0.9997399818382847,0.9996511045627388,1.0,0.9662001703701673,0.976033387499642,0.9653207807947584,0.9457781965862692
AMD_FURY,0.9576340001490803,0.964488531914365,0.984826015409631,0.9871781851928242,0.9919198504546073,0.9983583969525971,0.9974840980037317,0.9831655805158022,0.9812396787465996,0.9695264227599703,0.9616511509671951,0.9662001703701673,1.0,0.9914300390992513,0.9573493348515036,0.9512461292547402
GTX_1050_TI,0.9682058281652891,0.9743314646882864,0.9982158376619411,0.9953374108314501,0.9950199480041391,0.9892269166189505,0.987907344797163,0.9948091714471291,0.9925733857907775,0.9789611780309412,0.9719284215859917,0.976033387499642,0.9914300390992513,1.0,0.9583361814011375,0.9470129904397978
AMD_VEGA_64,0.9622879575856063,0.9662615996678614,0.9572317631574635,0.9466682752725674,0.9473050255225887,0.9497584153550398,0.9531627878721457,0.9456260855840404,0.9419243746986811,0.9655651917805775,0.9633906826256816,0.9653207807947584,0.9573493348515036,0.9583361814011375,1.0,0.9966650468295387
AMD_VEGA_56,0.9415930915884766,0.9466523864183578,0.9425875006429584,0.9358003657994698,0.9379732065867026,0.9434091556830769,0.947872921775931,0.9332090698271238,0.9291505804982879,0.9464678379695117,0.9431355443317643,0.9457781965862692,0.9512461292547402,0.9470129904397978,0.9966650468295387,1.0
